Degree Centrality,Norm. Degree Centrality,In-degree Centrality,Norm. In-degree Centrality,Out-degree Centrality,Norm. Out-degree Centrality,Eigenvector Centrality,Betweenness Centrality,Closeness Centrality,PageRank Centrality,Hub Score,Authority Score,Subgraph Centrality,Clustering
ts-ticketinfo-service,config-service,ts-basic-service,geocoderremote-service,order,gateway,blog,config-server,zuul,auth-service,auth-service,hospital-manage-service,ts-inside-payment-service,geocoderlocal-service
logstash,eureka-service,discovery-service,order,ts-route-plan-service,appointment-service,rating-service,backend,scaffold-zuul,personal-info-service,gateway-service,backend,ts-cancel-service,user-webservice
auth-service,eureka-server,ts-travel2-service,catalog,gateway-service,account-service,api-gateway,authserver,gateway-service,zipkin,kafka,authserver,gateway,zuul-gateway
kafka,admin,zipkin,mailer,gateway-service,approval-service,rabbitmq,customer-service,department-service,eureka,foodtray-service,eureka-discovery,auth-service,ratings-data-service
ts-train-service,config-server,mailer,customer,ts-basic-service,ratings-data-service,employee-service,account-service,api-gateway,microservice-api-gateway,uc,recommendation-service,ts-order-other-service,hospital-manage-service
notification-service,config-server,eureka-discovery,statistics-service,product-proxy,movie-info-service,hospital-manage-service,discovery-service,customer-service,gateway-service,intention,user-service,ts-rebook-service,recommendation-service
gateway,zuul,ts-user-service,account-service,movie-catalog-service,order,mail-server,eureka,recommendation-service,ratings-data-service,position,movie-service,organization-service,movie-info-service
statistics-service,webservice-registry,discovery-server,gateway-service,zuul,kafka,customer-service,webservice-registry,authserver,movie-info-service,order,eureka-service,gateway-service,task-webservice
department-service,rating-service,serviceregistry,customer-service,ts-register-service,github-repository,account-service,appointment-service,customer,discovery-service,admin,geocoderremote-service,department-service,web-portal
ts-travel-plan-service,customer,shipping,gateway-service,apache,store,backend,rabbitmq,user-service,account-service,zookeeper,discovery-server,employee-service,authserver
gateway-service,catalog,order,movie-info-service,ts-food-service,customer-service,authserver,account-service,movie-service,customer-service,auth-service,discovery-service,ts-travel-plan-service,mongodb
organization-service,user-service,invoicing,ratings-data-service,notification-service,discovery-service,order,reminder,backend,backend,department-service,zipkin,ts-admin-travel-service,api-gateway
ts-inside-payment-service,config,ts-price-service,recommendation-service,ts-inside-payment-service,authserver,catalog,user-service,catalog,authserver,user-proxy,eureka-server,ts-contacts-service,demo
webservice-registry,eureka-discovery,geocoderremote-service,recommendation-client,postgres,backend,customer,rating-service,customer,registry,turbine,department-service,config-service,backend
order,logstash,auth-service,user-service,foodtray-service,registry,ts-sso-service,hotel-service,catalog,gateway,rating-service,geocoderlocal-service,discovery-service,monitor-dashboard
ts-route-service,zookeeper,ts-contacts-service,movie-service,ts-seat-service,employee-service,auth-service,mailer,account-service,eureka-server,hotel-service,registry,notification-service,zipkin
employee-service,discovery-service,ts-inside-payment-service,authserver,ts-route-plan-service,message-service,zuul,geocoderremote-service,edge-server,hospital-manage-service,gateway,approval-service,statistics-service,discovery-service
ts-rebook-service,movie-info-service,jhipster-registry,backend,auth-service,ts-preserve-other-service,ts-route-service,shipping,zuul-gateway,rating-service,task-webservice,user-service,account-service,composite-service
mailer,account-service,account-service,organization-service,department-service,ts-preserve-service,ts-train-service,order,auth-service,customer,appointment-service,hotel-service,ts-assurance-service,review-service
jhipster-registry,shipping,ts-notification-service,gateway,turbine,ts-preserve-service,gateway,invoicing,rabbit,catalog,task-webservice,auth-service,ts-route-service,product-service
reminder,backend,ts-contacts-service,appointment-service,api-gateway,ts-preserve-other-service,movie-service,ts-travel-service,mailer,order,turbine-server,logstash,ts-route-plan-service,recommendation-service
order,ratings-data-service,notification-service,blog,reminder,turbine,user-service,organization-service,hotel-service,employee-service,auth-server,comments-webservice,ts-security-service,comments-webservice
auth-service,invoicing,api-gateway,store,ts-food-service,reminder,recommendation-service,employee-service,personal-info-service,mail-server,security-service,price-service,ts-basic-service,scaffold-config-server
configurator,zipkin,department-service,personal-info-service,recommendation-client,mongodb,monitor-dashboard,department-service,store,appointment-service,product-service,item-service,config-service,department-service
discovery-server,authserver,oauth,message-service,jhipster-registry,user-proxy,turbine,ts-seat-service,user-service,message-service,category-service,statistics-service,ts-notification-service,gateway-service
config-service,gateway-service,rabbitmq,hospital-manage-service,ts-inside-payment-service,notification-service,rabbitmq,ts-travel-service,geocoderremote-service,hystrix-dashboard,ts-preserve-service,monitor-dashboard,configserver,employee-service
ts-route-service,customer-service,reminder,eureka,scaffold-config-server,hotel-service,catalog,catalog,order,movie-catalog-service,mongodb,recommendation-client,zipkin,organization-service
ts-travel-plan-service,appointment-service,ts-consign-service,mysql,user-service,catalog,order,order,organization-service,ts-station-service,ts-preserve-other-service,account-service,ts-food-service,apache
eureka,discovery-server,turbine,reminder,task-webservice,task-webservice,customer,customer,rabbitmq,customer,scaffold-config-server,notification-service,ts-train-service,order
account-service,store,monitor-dashboard,api-gateway,account-service,rating-service,gateway-service,ts-ticketinfo-service,gateway,order,ts-preserve-service,comments-webservice,discovery-service,foodtray-service
ts-admin-basic-info-service,message-service,ts-food-service,oauth,statistics-service,serviceregistry,hotel-service,ts-seat-service,geocoderlocal-service,catalog,ts-preserve-other-service,product-service,config-server,zuul
eureka-service,registry,recommendation-client,ts-sso-service,ts-login-service,customer,user-service,ts-travel2-service,eureka,qbike-order,employee-service,category-service,configserver,order
ts-cancel-service,customer,recommendation-service,zuul-gateway,qbike-intention,turbine-server,geocoderlocal-service,ts-basic-service,statistics-service,rabbit,order,mailer,config-server,consul
ts-admin-travel-service,catalog,ts-verification-code-service,hystrix-dashboard,employee-service,task-webservice,geocoderremote-service,kafka,hospital-manage-service,department-service,customer,monitor-dashboard,webservice-registry,oauth
turbine,mailer,movie-service,geocoderlocal-service,ts-order-other-service,ts-rebook-service,ts-order-service,recommendation-service,ts-sso-service,turbine,catalog,oauth,discovery-service,gateway
ts-cancel-service,reminder,organization-service,notification-service,gateway-service,scaffold-config-server,ts-order-other-service,user-service,turbine-stream-service,turbine-stream-service,scaffold-txmanager,api-gateway,auth-service,api-gateway
recommendation-client,geocoderremote-service,ts-security-service,account-service,order,customer,ts-price-service,movie-service,ts-station-service,hotel-service,scaffold-route-operate,reminder,webservice-registry,auth-service
oauth,auth-service,comments-webservice,rabbitmq,position,oauth,statistics-service,ts-travel2-service,notification-service,user-service,scaffold-business-thirdparty-service,api-gateway,configurator,admin
api-gateway,gateway,api-gateway,ts-station-service,intention,catalog,account-service,ts-order-service,account-service,ts-sso-service,scaffold-business-job-service,hystrix-dashboard,ts-inside-payment-service,eureka-server
config-service,notification-service,edge-server,comments-webservice,uc,api-gateway,notification-service,ts-order-other-service,order,movie-service,scaffold-business-sys-service,zuul-gateway,order,logstash
ts-inside-payment-service,statistics-service,rabbitmq,price-service,turbine-stream-service,turbine,department-service,ts-inside-payment-service,message-service,recommendation-service,demo,organization-service,order,recommendation-client
ts-admin-basic-info-service,rabbit,gateway-service,item-service,gateway,eureka,turbine-stream-service,ts-food-service,appointment-service,user-service,scaffold-route-openapi,api-gateway,config-service,eureka-discovery
order,approval-service,rating-service,user-service,ts-security-service,mailer,ts-seat-service,ts-order-service,ratings-data-service,rabbitmq,scaffold-route-app,turbine,ts-admin-basic-info-service,eureka-service
eureka,oauth,ts-assurance-service,hotel-service,user-proxy,turbine-stream-service,ts-ticketinfo-service,ts-order-other-service,movie-info-service,mailer,zipkin,edge-server,eureka-discovery,gateway-service
discovery-service,user-service,ts-config-service,api-gateway,rabbitmq,statistics-service,monitor-dashboard,auth-service,ts-station-service,approval-service,api-gateway,security-service,kafka,discovery-service
ts-route-plan-service,recommendation-service,price-service,api-gateway,ts-admin-route-service,account-service,auth-service,ts-notification-service,reminder,apache,comments-webservice,task-webservice,ts-consign-service,discovery-server
ts-basic-service,api-gateway,item-service,ts-order-service,ts-admin-order-service,ts-rebook-service,organization-service,ts-basic-service,oauth,config-service,user-webservice,user-webservice,ts-cancel-service,movie-catalog-service
ts-food-service,postgres,discovery-service,ts-order-other-service,turbine-server,shipping,ts-travel-service,ts-inside-payment-service,api-gateway,monitor-dashboard,auth-server,web-portal,eureka-service,gateway
ts-food-service,foodtray-service,auth-service,ts-order-service,appointment-service,recommendation-service,ts-travel2-service,api-gateway,microservice-api-gateway,organization-service,web-portal,auth-server,recommendation-client,api-gateway
serviceregistry,apache,gateway,ts-station-service,approval-service,movie-service,ts-config-service,eureka-server,mysql,rabbitmq,turbine,demo,turbine-stream-service,serviceregistry
mysql,hotel-service,comments-webservice,comments-webservice,message-service,invoicing,ts-basic-service,admin,auth-service,geocoderremote-service,catalog,auth-service,ts-execute-service,registry
api-gateway,turbine,monitoring,api-gateway,ts-execute-service,discovery-service,mail-server,oauth,monitoring,statistics-service,customer,task-webservice,ts-admin-order-service,turbine-server
zipkin,movie-service,turbine-stream-service,monitor-dashboard,mongodb,eureka-service,monitoring,ts-food-service,mail-server,price-service,comments-webservice,auth-server,rabbitmq,approval-service
ts-contacts-service,account-service,monitor-dashboard,monitor-dashboard,task-webservice,zookeeper,eureka-server,ts-consign-service,ts-order-service,item-service,auth-server,zipkin-tracing,discovery-server,ts-assurance-service
ts-notification-service,product-proxy,ts-security-service,edge-server,api-gateway,user-service,eureka,ts-consign-service,qbike-order,gateway-service,web-portal,user-webservice,ts-admin-basic-info-service,geocoderremote-service
ts-train-service,hystrix-dashboard,ts-consign-service,admin,mailer,github-repository,webservice-registry,ts-notification-service,mail-server,github-repository,user-webservice,web-portal,scaffold-eureka,kafka
ts-security-service,zuul-gateway,ts-food-service,rabbitmq,ts-security-service,ts-travel-plan-service,webservice-registry,ts-security-service,comments-webservice,configserver,ts-rebook-service,card-statement-composite,foodtray-service,product-proxy
turbine-stream-service,geocoderlocal-service,ts-station-food-service,kafka,oauth,qbike-intention,scaffold-eureka,ts-contacts-service,item-service,geocoderlocal-service,account-service,statement-service,ts-user-service,ts-route-plan-service
foodtray-service,eureka,kafka,zuul,ts-ticketinfo-service,intention,eureka,ts-security-service,price-service,configserver,price-service,card-service,ts-contacts-service,registry
shipping,comments-webservice,admin,turbine,order,uc,ts-route-service,ts-route-plan-service,ts-order-other-service,ts-station-service,store-service,ts-station-service,eureka,reminder
appointment-service,task-webservice,ts-assurance-service,ts-train-service,kafka,position,ts-train-service,ts-route-plan-service,monitor-dashboard,comments-webservice,customer-service,account-service,ts-admin-travel-service,ts-travel-plan-service
ts-route-plan-service,price-service,hystrix-dashboard,ts-route-service,ts-execute-service,order,ts-order-service,discovery-service,kafka,security-service,item-service,store-service,geocoderremote-service,account-service
geocoderremote-service,item-service,ts-inside-payment-service,ts-order-other-service,ts-admin-order-service,eureka,ts-order-other-service,price-service,turbine,mysql,statement-service,customer-service,zuul,mailer
zuul,rabbitmq,appointment-service,ts-travel-service,ts-order-service,ts-admin-travel-service,ts-config-service,ts-station-food-service,ts-order-service,comments-webservice,card-statement-composite,foodtray-service,apache,ts-travel-plan-service
message-service,turbine-stream-service,hospital-manage-service,auth-service,ts-admin-travel-service,hystrix-dashboard,ts-price-service,store-service,order,monitor-dashboard,monitor-dashboard,review-service,consul,config-server
gateway-service,turbine-server,zuul-gateway,turbine-stream-service,card-service,geocoderlocal-service,item-service,ts-payment-service,comments-webservice,monitoring,card-service,auth-server,ts-consign-service,auth-service
apache,personal-info-service,geocoderlocal-service,monitoring,rabbitmq,geocoderremote-service,price-service,ts-payment-service,ts-order-other-service,review-service,composite-service,composite-service,eureka,zookeeper
consul,hospital-manage-service,personal-info-service,gateway,statement-service,ts-admin-basic-info-service,message-service,foodtray-service,ts-route-service,composite-service,review-service,product-service,ts-register-service,config
invoicing,blog,ts-price-service,ts-seat-service,discovery-service,product-service,appointment-service,item-service,ts-train-service,auth-server,product-service,turbine-server,turbine,gateway-service
ts-security-service,task-webservice,catalog,ts-travel-service,card-statement-composite,zuul-gateway,ratings-data-service,github-repository,rabbitmq,recommendation-service,recommendation-service,edge-server,ts-assurance-service,ts-route-plan-service
eureka-discovery,comments-webservice,order,approval-service,monitor,ts-travel-plan-service,movie-info-service,ts-admin-user-service,admin,turbine-server,reminder,recommendation-service,price-service,ts-rebook-service
rabbitmq,github-repository,rabbitmq,config-service,monitor-dashboard,ts-cancel-service,turbine-server,customer-service,monitor-dashboard,product-service,recommendation-service,ts-seat-service,item-service,eureka
rabbitmq,ts-preserve-other-service,registry,mail-server,github-repository,category-service,recommendation-service,account-service,ts-route-service,edge-server,user-service,ts-station-service,zuul-gateway,configurator
turbine-server,ts-preserve-service,user-service,ts-seat-service,movie-service,security-service,auth-server,ts-contacts-service,ts-train-service,notification-service,movie-service,ts-sso-service,geocoderlocal-service,config-service
registry,ts-travel-service,api-gateway,ts-travel2-service,user-service,auth-server,review-service,mail-server,ts-travel-service,account-service,api-gateway,admin,rabbit,ts-admin-travel-service
hystrix-dashboard,ts-preserve-other-service,ts-config-service,zuul,eureka-service,eureka-discovery,composite-service,ts-execute-service,ts-seat-service,config-server,oauth,monitoring,ts-price-service,notification-service
task-webservice,ts-preserve-service,message-service,category-service,authserver,ts-travel-service,edge-server,ts-travel-plan-service,ts-seat-service,product-service,mailer,ts-seat-service,order,statistics-service
price-service,mysql,customer,security-service,backend,ts-seat-service,product-service,ts-cancel-service,ts-ticketinfo-service,category-service,ts-rebook-service,ts-order-service,comments-webservice,ts-cancel-service
zuul-gateway,monitor-dashboard,customer,product-service,registry,ts-cancel-service,mailer,ts-config-service,ts-travel-service,foodtray-service,geocoderlocal-service,ts-order-other-service,task-webservice,discovery-service
geocoderlocal-service,kafka,catalog,ts-route-service,ts-consign-service,ts-admin-basic-info-service,qbike-order,ts-assurance-service,auth-server,customer-service,geocoderremote-service,ts-train-service,movie-service,ts-seat-service
ts-assurance-service,rabbitmq,order,ts-ticketinfo-service,github-repository,ts-travel2-service,hystrix-dashboard,ts-route-service,user-webservice,store-service,turbine-stream-service,kafka,user-service,ts-travel2-service
movie-catalog-service,ts-order-other-service,config-server,auth-server,github-repository,github-repository,comments-webservice,ts-price-service,foodtray-service,account-service,ts-admin-travel-service,ts-travel-service,recommendation-service,ts-route-service
discovery-server,ts-travel2-service,mail-server,user-webservice,serviceregistry,github-repository,comments-webservice,ts-preserve-service,task-webservice,config-server,notification-service,ts-travel-service,monitor-dashboard,ts-train-service
recommendation-service,ts-sso-service,statement-service,web-portal,ts-order-service,webservice-registry,ts-seat-service,ts-admin-order-service,account-service,config-server,account-service,turbine-stream-service,task-webservice,turbine-stream-service
approval-service,ts-seat-service,authserver,foodtray-service,customer-service,comments-webservice,ts-basic-service,ts-admin-travel-service,store-service,order,statistics-service,gateway,comments-webservice,turbine
rating-service,ts-order-service,ts-payment-service,account-service,store-service,user-webservice,order,ts-admin-route-service,customer-service,auth-service,ts-travel-plan-service,ts-route-service,catalog,discovery-service
user-service,product-service,backend,config-service,price-service,web-portal,demo,mail-server,web-portal,ts-order-service,ts-travel2-service,personal-info-service,customer,webservice-registry
item-service,user-proxy,ts-route-plan-service,configserver,ts-contacts-service,auth-server,customer-service,monitor,config-service,kafka,ts-travel-service,ts-basic-service,catalog,ts-price-service
rabbitmq,mongodb,card-statement-composite,store-service,ts-order-other-service,store-service,account-service,ts-food-map-service,approval-service,oauth,ts-travel-plan-service,gateway-service,customer,webservice-registry
ts-price-service,security-service,card-service,customer-service,ts-notification-service,item-service,foodtray-service,ts-cancel-service,ts-basic-service,api-gateway,eureka-service,ts-travel2-service,serviceregistry,ts-rebook-service
user-service,ts-travel-service,ts-consign-price-service,task-webservice,ts-consign-service,account-service,store-service,ts-login-service,ts-travel2-service,reminder,zuul-gateway,ts-order-service,api-gateway,appointment-service
movie-service,category-service,user-service,ts-basic-service,ts-admin-user-service,customer-service,approval-service,ts-config-service,ts-price-service,ts-order-other-service,ts-cancel-service,ts-ticketinfo-service,gateway-service,discovery-server
monitor-dashboard,ts-station-service,ts-food-map-service,ts-travel2-service,item-service,price-service,security-service,ts-consign-price-service,ts-config-service,github-repository,ts-basic-service,kafka,ts-config-service,ts-security-service
comments-webservice,ts-order-service,ts-consign-price-service,configserver,account-service,ts-basic-service,category-service,ts-station-service,zipkin-tracing,web-portal,ts-admin-basic-info-service,rabbitmq,turbine-server,ts-security-service
gateway,ts-seat-service,ts-basic-service,zipkin-tracing,ts-notification-service,ts-travel2-service,product-service,ts-preserve-other-service,user-webservice,user-webservice,ts-seat-service,ts-contacts-service,jhipster-registry,ts-contacts-service
discovery-service,web-portal,ts-route-plan-service,task-webservice,ts-admin-route-service,ts-travel-service,movie-catalog-service,ts-food-delivery-service,auth-server,auth-server,external-website,ts-user-service,ts-admin-order-service,ts-travel-service
customer,account-service,ts-payment-service,auth-server,hotel-service,recommendation-service,config-server,ts-admin-basic-info-service,task-webservice,task-webservice,webservice-registry,ts-travel2-service,ts-execute-service,ts-food-service
comments-webservice,api-gateway,mail-server,edge-server,ts-food-delivery-service,comments-webservice,config-service,ts-consign-price-service,web-portal,demo,webservice-registry,ts-order-other-service,appointment-service,ts-inside-payment-service
gateway-service,customer-service,ts-notification-service,review-service,ts-assurance-service,composite-service,github-repository,ts-admin-basic-info-service,security-service,ts-order-service,message-service,ts-notification-service,ts-admin-route-service,ts-basic-service
kafka,user-webservice,customer-service,user-webservice,rating-service,review-service,mail-server,github-repository,product-service,user-proxy,ts-travel-service,ts-food-service,rating-service,config-service
ts-consign-service,auth-server,hotel-service,auth-server,recommendation-service,product-service,ts-payment-service,ts-register-service,hystrix-dashboard,auth-server,ts-travel2-service,ts-consign-service,user-service,ts-inside-payment-service
postgres,store-service,store-service,web-portal,benchmark-service,github-repository,kafka,ts-rebook-service,category-service,product-proxy,ts-route-plan-service,ts-security-service,eureka,ts-travel2-service
apache,ts-basic-service,ts-train-food-service,product-service,ratings-data-service,webservice-registry,ts-food-map-service,ts-verification-code-service,ts-config-service,ts-order-other-service,hystrix-dashboard,ts-assurance-service,kafka,ts-order-service
task-webservice,ts-station-service,foodtray-service,composite-service,security-service,web-portal,ts-consign-price-service,ts-execute-service,ts-price-service,ts-route-service,eureka-discovery,rabbitmq,monitoring,ts-order-other-service
catalog,ts-order-other-service,config-service,recommendation-service,eureka,auth-server,user-webservice,ts-train-service,card-service,zipkin-tracing,rabbitmq,ts-contacts-service,message-service,configserver
customer,ts-travel2-service,account-service,turbine-server,turbine,user-webservice,task-webservice,ts-train-food-service,card-statement-composite,web-portal,discovery-service,ts-consign-service,account-service,config-server
ts-register-service,recommendation-service,api-gateway,ts-train-service,catalog,ts-route-plan-service,zipkin-tracing,ts-travel-plan-service,statement-service,user-webservice,ts-cancel-service,ts-assurance-service,store-service,ts-ticketinfo-service
catalog,composite-service,benchmark-service,statement-service,customer,ts-basic-service,auth-server,ts-preserve-other-service,config-service,auth-server,ts-route-plan-service,ts-food-service,customer-service,ts-travel-service
product-proxy,product-service,gateway,card-statement-composite,customer,rabbitmq,web-portal,ts-station-service,configserver,task-webservice,eureka-server,ts-security-service,auth-server,ts-seat-service
ts-contacts-service,auth-server,config-service,card-service,catalog,github-repository,rabbit,ts-rebook-service,ts-basic-service,admin,ts-admin-route-service,ts-inside-payment-service,api-gateway,ts-cancel-service
ts-user-service,review-service,zuul,config-server,invoicing,monitor,task-webservice,ts-admin-order-service,ts-travel2-service,config-service,ts-admin-basic-info-service,ts-route-service,web-portal,ts-route-service
ts-consign-service,web-portal,qbike-order,demo,shipping,discovery-service,web-portal,ts-admin-travel-service,auth-server,ts-train-service,ts-order-other-service,ts-train-service,user-webservice,configserver
ts-config-service,monitor-dashboard,mail-server,config-server,web-portal,statement-service,user-webservice,ts-sso-service,review-service,ts-route-service,ts-order-service,ts-inside-payment-service,approval-service,ts-preserve-service
store-service,api-gateway,zipkin-tracing,scaffold-zuul,user-webservice,scaffold-route-app,auth-server,ts-user-service,recommendation-service,github-repository,kafka,ts-price-service,ts-config-service,ts-sso-service
ts-notification-service,user-webservice,configserver,mail-server,comments-webservice,card-service,mysql,ts-preserve-service,composite-service,github-repository,ts-food-service,mail-server,card-statement-composite,ts-preserve-other-service
ts-assurance-service,ts-rebook-service,auth-server,ts-contacts-service,auth-server,scaffold-route-operate,ts-travel-service,ts-price-service,edge-server,mail-server,ts-seat-service,mail-server,statement-service,config-server
ts-execute-service,edge-server,user-webservice,ts-user-service,webservice-registry,card-statement-composite,apache,ts-route-service,configserver,config-service,ts-basic-service,ts-config-service,edge-server,message-service
backend,card-service,web-portal,ts-price-service,github-repository,scaffold-txmanager,ts-station-food-service,ts-admin-route-service,turbine-server,qbike-trip,ts-inside-payment-service,ts-config-service,card-service,ts-order-service
customer-service,statement-service,zuul,ts-contacts-service,registry,scaffold-business-thirdparty-service,ts-consign-price-service,ts-assurance-service,product-service,card-statement-composite,ts-security-service,ts-route-plan-service,auth-server,ts-station-service
ts-admin-order-service,card-statement-composite,security-service,ts-notification-service,auth-server,scaffold-business-job-service,ts-payment-service,ts-train-service,config-server,card-service,ts-execute-service,ts-route-plan-service,user-webservice,eureka
ts-price-service,demo,category-service,ts-inside-payment-service,category-service,scaffold-business-sys-service,ts-train-food-service,benchmark-service,demo,statement-service,ts-admin-order-service,ts-price-service,api-gateway,ts-station-service
authserver,scaffold-config-server,product-service,microservice-api-gateway,external-website,demo,github-repository,edge-server,config-server,scaffold-route-openapi,ts-inside-payment-service,ts-notification-service,web-portal,ts-order-other-service
ts-admin-route-service,turbine,store,qbike-trip,product-service,scaffold-eureka,ts-notification-service,customer,ts-user-service,scaffold-route-operate,zookeeper,ts-verification-code-service,ts-price-service,ts-preserve-service
ts-admin-order-service,ts-train-service,qbike-trip,qbike-order,recommendation-service,scaffold-route-openapi,ts-inside-payment-service,github-repository,ts-contacts-service,scaffold-route-app,shipping,ts-food-map-service,ts-login-service,ts-preserve-other-service
ts-login-service,ts-route-service,blog,ts-inside-payment-service,product-service,eureka-server,ts-contacts-service,zuul,ts-inside-payment-service,scaffold-business-job-service,invoicing,ts-payment-service,mysql,ts-basic-service
